##########################################################################################
	Title		: Manually Annotated Sentiment Analysis Twitter Dataset NTUA
	Created by 	: Aisopos Fotis et al. 
	Institution : National Technical University of Athens
2	@jaronmc LOL it goes together nicely - see I'd have to rush onto my balcony to ge the shot and right now haz no pants
2	luv it! RT @RobertGirandola when I was little, I used to draw on the walls, signed it with my brother's name-parents bought it for a while.
1	RT @tqjones44: Conservatives & republicans R scared 2 death that their children may find out that their parents R BAT SHIT CRAZY! #gop #tcot
3	Back to the House of the Toasted Laptop tonight, SO close to affording new sparkly slinky iMac I could cry. Hole in metaphorical donut. Booo
3	@sweetmiseryy I wasn't on MC on Sunday - was on "weekend leave", meaning I was free to roam around...then MC from yesterday. :)
1	Aww qtt my periodd |Stupidd harr dyee didnt workk.Neww Picturee qoo comment ill returnn the favorr:)| Talkin to And ... http://lnk.ms/3g6hq
3	i don't like how i just used "sleep" twice....so let's change that to i'm tired :)
3	Rt @bearblanca ... when I'm sad :) - true! Thank you, not every girl is stuck up!
3	RT @lyndakelly: RT @richallsop: #bb10 are they allowed to discuss nominations still? I wondered that bea just discussed them..
2	@rajeshlalwani ah woh toh hain. I felt that too. But then Twitter is an outlet no? Throwing some ++++++++ve energy at you. :-)
2	@AHisme Haha! I think they're all worth it - British guys are extremely talented and extremely charming.:)
2	I love coming home freezing, smelling of wood smoke, and full of fried chicken, veggies, and a million kinds of cake :)
2	@makemeup82 I'm going to do Lucy next year for Halloween :)
2	Arrived at the cockpit. Good morning all :D
2	bought a Nikon D3000 SLR today!!!! thanks grandma i'll miss you!! but ill think of you w/ every new memory! =)
2	:) si RT@Lyphpcp: It's fun to stay at the y-m-c-a.......
2	and in case you don't know, i'm on omegle. :)
3	RT @ceworks: NIKE resigns from the Board of Chamber of Commerce, says they "fundamentally disagree" on climate change: http://su.pr/6Z8tmQ
3	@abetterflapjack heh, in a modern version of WordPress, perhaps. :-) (& that's why I need the backupÉ to upgrade!) Thanks.
3	RT @freefilen Gayle San - Fine Audio DJ Mix Series Vol. 2 (1998) http://bit.ly/2CQDI
2	Im talking to myself. Haha. See what its come to. Lol. :)
2	Ah :) You make me smile so much, and you don't even know it.
2	I love watching old shows I feel they have more values than shows today:)
2	Can't wait to looky2 @ ampel next week...bwahahaha :D http://myloc.me/SnbZ
2	Hungry? Maybe? Reading harry potter. :)
2	Summer! Summer! Its Summer Mother Fuckers!!!! :D
2	RT @Mulator: 5 minutes until we hear the sweet music of "He Shoots....HE SCORES!
2	http://twitpic.com/ear75 - Mmm desert :)
3	RT @newscientist Engineering the genes of livestock could make them incapable of feeling pain http://bit.ly/XGg4k
3	Let us endeavor so to live that when we come to die even the undertaker will be sorry. . ^^^ So said Mark twain. :)
2	@chadwickhjones ha; i dont get facebook, lol. :)
2	Just booked a last minute trip to Germany. Going to Hamburg & and a little town that I cannot spell. :)
2	Bom dia! Live from the windmill! :)
2	i think shakey's has the best buffalo wings :)
2	Yo @johnthornhill and @Dave_Nicholson, it's nice to see you guys on here briefly again! =)
3	@PRiMETiMECHiCKZ Thanx :) whenever some1 asks me how I spell my name they think its spelled like yours
3	RT @ChipotleMedia: June Cosmopolitan lists Chipotle (client) as one of the best places to meet men. http://tiny.cc/dSBae - true that
2	I'm updating the @tweamburke folder! :)
2	@Mircea_Popescu i'll do my best:)
2	@illscarlett winnipeg soon ? (: hope so. i love you guys <3
2	Oh man. I am very tired. But I'm very happy. I feel loved by KC & Co. It's amazing. :)
2	@JeffTimmons98 Did u talk about me? lol I was hoping to hear ur voice too. Do another BT instead:) loveya
3	RT @Schmorker: Extreme pogosticking! http://is.gd/2FeGt >> talk about risk-takers
3	@seankingston hey hope your well just found ur account so thought id follow you and send u a tweet :) xx
2	@corgreen So glad to see everything went good :) now the journey begins :) congrats :) what a great Christmas present :)
2	@MarvetBritto it definitely is! You should have a book of all your 'PR Gems' I always read them 2 my class & my teacher loves them! :)
2	@jackieloi wah! died ah.. I mean.. Diet ah? :D
2	@realbrookewhite aww you look really pretty in that pic :) i love your hat! thanks for sharing :D
2	@mitchelmusso - Britney does! (: Hahaha. And why don't you just go to 2010? That's one more person you can make happy! (:
3	@yassoma yeah reminds me that i didnt publish my pics once i got it :D
2	@CathrynMarie Mornin Cat! I have some Yams for you. :)
3	RT @HideyoKusano #twitdraw http://twitdraw.com/rstyos
2	homecoming at church in a lil bit (: ... http://lnk.ms/2hgVt
2	Enjoying some vino and food with la whore and her friends :-)
2	@diamondlarry Amen to that! : )
2	Lol aww! RT @AubreyODay: http://twitpic.com/gi9in - My momma with her man. They haven't seen each other for a week. Getting that cuddle ...
2	http://twitpic.com/7b9zm - I love mary (:
3	@JenalynMichelle what time do you work today? ...and what are you doing before that? =)
2	@itsmebadgley suuurrrrrreeee u will ha i know one subject u will NOT answer. :-) you are on my twit wallpaper ha ha thats not weird at all..
3	@BoroianBABES I am okays. Watching a movie, actually. Putting together an album of photography actuallly :) how are you?
2	@natassiachloe HAHAH yeshh thankss tass :) http://myloc.me/CpJ8
2	@fanyjjang They were so awesome, weren`t they? :) Gosh, I hope they`ll be as popular as SNSD!
3	@raychul_5 the leo symbol cradling a star on one side and a moon on the other. :)
2	OK yeah hahah so I am back state fair, i am frekin tired it is time to go back to bed again lol!!! =)
2	@carolinamnz :D i know loveU! caroons
2	@bbygirl_wy See you later! Ice cream bar later, tara :-)
2	15th monthsary!!!!!!!!!!!!!! <3 bpp is the best bf in this whole damn world! (:
2	@saramadison Lets!! I have two. :)
2	Beautifull news - "endless music" of Michael Jackson :) http://bit.ly/n73mz
2	ugh...i'm not looking forward to the whitecoat ceremony tonight! Oh well, at least I'll get to see my family :D
3	@Frumph good to know phil :) though I'll have to wait until I get home sadly.
2	@jagz112 yeah,he was around most of my life,he holds a huge special meaning to me.nice to meet you by the way:)
3	Eval here: http://bit.ly/6MDAuRT RT @ConLetters: 'Water neutrality: ...' http://ow.ly/iTev MUST READ #f1000
2	@dongwayne lols gossip girl's cooool. + I have a oth poster:)
2	So excited to go to the airport today. I haven't been there in a while and its always nice to see departures and arrivals:) People are w ...
2	@DirtInMyI I know :) Issues.. not so cool either. BUT the eyepatch is still made of awesome!
3	Yup. Featuring a very young Hugh Laurie and @StephenFry RT @ChrisLundie: Vision TV in Canada is apparently running Jeeves & Wooster again
2	says hi!:)) http://plurk.com/p/1kkvli
2	Getting through the photos at a quick pace! This is great! Soon a BBQ with some friends :)
1	RT @bringsdogtowork: 9-12 DC March - Obama, Can You HEAR US NOW?!! Crowd ROARS http://bit.ly/ZgTDz #tcot #iamthemob/ good video
2	@EyeRanProtestr It is YOU, pal who are in custody... And already confessed without coercion :)))))))))) #iranelection
2	Lots of children crying at school today - surprisingly Anya wasn't one of them. I got a big super huge hug though :)
3	Buzz Aldrin vs. Buzz Lightyear! RT @therealBuzz: Did anyone see me arm wrestle Buzz Lightyear? I win every time. http://ow.ly/fxC6
3	RT @LG15todaynews: RLG15: The Last - Quietus - "Alone" http://lg15today.blogspot.com/search/label/Quietus
3	RT @crewt Orange Bowl is sacred land. Can't look at ungodly pictures of an overpass getting built on its ground.
2	Okokok lmao forreal this time ima go shower =) a NICE HOT shower lol my bathroom is madd steamy right now =) lol
1	@cuwarrior - If that's true, it's still a lot. (and don't get me started on the other spending or the Iraq war... I'm punching out soon :)
2	I just ordered my new Creative Zen MX... can't wait til it's here :)
2	@jakieee08 bahahaha my dad always gets angry at me for all the pictures i have of them, i have like over 3000 :D haha
2	@ddlovato hey, I just wanted to no when your doing another live facebook vid? :)) lub ya!
3	@WEIGY but don't worry, is not end of the world :)
2	@LilGreenFingers Thank you :-) and will call you soon.
2	@sweetener so after the film, should we sing 'happy birthday' for her? :D
2	@queenmotherblog I will keep my fingers crossed for you! hehe :)
2	@hollymadison123 hi holly, im a big fan from england, just wanted to say hey and hope your doing well :) . please reply xo
2	Such a fun and beautiful dinner.. Thx to my hub @indraputra and all my friends. xoxo :)
2	I got my new phone! It's beautiful!!! ...and I already want a new one. =)
2	i wish i knew someone famous. or was related. how cool would that be?omg thats my new life goal, to perzonally know a celeb! :) any offers?
2	@SARADAWWGS_ hahahaha yes i know:) uhm fine you can be a OH i fucking give up :)
2	is excited for the Wifi Testing in SM later! :) http://plurk.com/p/14cdn2
2	i am currently joining twitter because my beautiful andrea told me it was amazing, lol (:
2	RT @spiceee:happy 09/09/09! http://bit.ly/lxvrP
2	i made it! :D
3	Why are me and my best friend talking through twitter and not in person hahaha :D
2	Yes you are, you are my favorite one. :)
2	@violetposy Yep...I'm on it...looking right now. I'll get a few for your expert opinion! :) Again, you ROCK the HOUSE!!!
3	@KimKardashian let me be your friend too? see my orkut :D
3	Now that we're done, I'm so sorry. I know I hurt youuuuuu. :-)
2	@thesnarkyone I can't be good at everything, so I've chosen not to excel at driving :)
2	The last 2009 .huhuu. Great year ever! and full of memory :)
2	@jawshoouh well you have lexy and carolyn and me and bree and hannah. we're your friends :D
3	@MissBehaves What does the BSB stand for? /:)
2	Well other than hurting my knees and now a muscle in my leg, im fine :)
3	RT @mjnewham A Collection of Humorous Flowcharts for Web Designers http://bit.ly/TbAqx
2	shower, getting ready, dinner then transformers with sb and kat :)
2	@JeanineDeal @DREAamara @HappyPrettyYou @ReikiAwakening @salesquotes @vinilereu @michaelmagical @Jake_DI244 thanks for the love friends =)
2	Great Morning USA! @JoeJonasLoverxo @Courtney731 @lalasarah @xKathyxTarax and @lesliellyn were the first five to get it! :D
3	@tuftedpuffin ...but I think I was about 6 or so when I liked them :)
3	@lizzistardust yeah, I hate people how feel GOOD while they run. I am not that person :)
3	@eni_kao "stop thinking about the PR of how you look and focus on the journalism of what you do." :)
2	Had the chance to eat Bettis' restaurant on Sunday after Pirate game. Really enjoyed it! :)
2	shares Hightlight of the day :) http://tinyurl.com/yhf7tjs http://plurk.com/p/2imggm
2	@yellowduckx rawr! u need to watch more oowarai :) glee is awesomeee, soooo wuzzup?
2	having a fun time 'riding' on my sister's back! haha.. she's huge and i'm a dwarf compared to her :D
2	@DeeFamouSs waiting for you to come read me a bedtime story and tuck me in :)
3	@sanjaydbhatia thanks and sorry for the late reply... i hope that mystery shopper gig pushes through... anything extra will be a big help :)
3	Took the "Voc  chato ou gente boa? :D" quiz & got: Legal! What'll you get? _ http://bit.ly/139NoC
3	@dannyrob you've had atough day mr. All that drama at work and relentless spamming on twitter :)
2	i'm home alone for the rest of the day (:
3	reading the tornado docs, on a lark, I fired up ab against my test server and my own framework just to see. Ouch. :)
3	@krystynchong who the heck is marselle Wallace?? :-)
2	@markkayeshow lol :) At least it's a change of scenery. Fresh air stimulates the mind... erm... I think? lol :)
2	@five15design I bought an Orinoco when I was in the UK years ago - he does rock! :-)
2	If you're going to #iowacodecamp and you want to learn about Pex, come to my talk! :)
2	@XPR Hope you enjoy the Vitamin D. :)
3	RT @Sugarnspicepix When the world says, "Give up," Hope whispers, "Try it one more time." ~Author Unknown
2	Nice. Sitting outside drinking coffee and listen to live music. The guy isn't so bad. Knows how to play the guitar :)
2	APOD today - such a cool shot. I just hope Wolowitz was not involved in its construction. :) http://bit.ly/dYdIW
2	detailing lagi :D yeahh.... I Love it
2	Just blogged. Warning-contains reference to sweet things :D http://willsketchforcake.blogspot.com/
3	RT @toptentopten: The Top Ten Greatest NBA Playoff Upsets: http://bit.ly/vXmAd
3	@claiireeee what is a flick? yeah I really don't think mine will last that long. it hasn't started messing up yet though (:
3	@hawaiianbear I should have re- worded better. U weren't only one to pick me up on it . I am Tired and tweeted out :)
2	AWESOME place!!! white sand beach ... clear blue sea... this place is sooo relaxing!!! :D http://twitgoo.com/1wx2p
3	@OwenDell Will we see this in an upcoming tv program? :-) A tribute to minimalism in the garden?
2	Librivoxateers, the new community podcast is wonderful! Thank you all :)
2	@MarcoShaw :) well when I get settled, maybe I'll get one to "splinter" from IT Pro or a coffee and Code :)
3	Baby's movements are so strong my whole middle moves! That's why I can't sleep at night. She's having a party in utero. :)
3	@tiggerificly Ironic that the policy Harman's advocating makes her look like a total failure :D http://_.ws/_
2	@SunnySiide - Johnny Tep sounds like a good name(: &lt;3
2	@NongLing Yeah I got it. Shaking me head, but I got it. :) LOL
2	pumpkin picking w/ da fam and movies with billy tonight(:
2	okay twitter going to sleep now or read lol love ya with all my heart and GOD BLESS every second of every day :)
2	http://twitpic.com/ck3ei - natalie and me when we were about 10 or 11 years old :)
2	@HardcoreLomeli Really??! Awesome! I recommend you to listen to "Wild Hope" (record). It'll change you life. :)
2	@poetryinsepia HAHAHA okay love. i understand. (:
3	@michaelmeloni Maybe we need a dryTUB. (and also, caffeineTUB and sugarTUB :D )
3	http://twitpic.com/ahtz5 EU *-* foollow me ! (:
3	RT @kermitboiii: Reluctant to say so, but 2009 was the year of the GaGa.
2	Bearly coming back from school for da registration :)and going back tomorrow
2	@LloydDavis Top of my new year's resolution list is to see more of you and @solobassteve. :)
2	@alexknight I just saw. I tried to cancel the first one but it didn't work :) haha
2	@zbussey -_- enough with the tofu! okay so will u get me some :)
2	@tommcfly i love weddings :D HAHAHA!
2	Inglorious Bastards pretty good. Time for a little booty shaking and trainwreck chasing. :)
2	(: Last update of the night. Busy day tomorrow- but I'd be lying if I said I wasn't excited. Goodnight Twitter, tweet dreams.
2	@karinkydink Oh. No, I haven't seen it. We aren't ashamed of *ourselves.* :D
2	@MHeadcase thanks :))) I'm gonna enjoy today
2	got passes!!! woooohhhoooo(: gettting hair done + then packing for atlantic city(:
2	@JkGirlAllTheWay well, i just think it's cool that we both love nkotb, etc! we have stuff in common! :)
2	@kieronrichardso you dont look nothing like joe lol hope your ok :)
2	@MillaJovovich lol - well thats good news :D how far into RE are you now? x
